,Name,Title,Body,Stars
483,Carmen Fritsch,,"Würde unter Adventskalender angepriesen. 24 einzelne Kugeln mit Schleim, der beim ersten Ziehen reißt. Sehr enttäuschend",
484,Francesco,,Confacente alle aspettative,
485,Andreas,,Im großen und Ganzen super! Nur leider war eine der Slimekugeln in der Packung kaputt und ist ausgelaufen...somit ein ganz klein wenig Enttäuschung beim Kind. Ansonsten ist das Produkt toll und kommt gut an!,
486,Lucio,,"Salve,stupende e pratiche, ho preso queste palline di slime per mio figlio, sono rimasta prima io colpito dalla alta qualità del prodotto e dalla fatto di essere così vari colori e tipologie che non si stanca mai di giocare. come si vede in foto, sono colorate, trasparenti, con le perline, con le paparelle, tanti modelli e tanti modi di giocare che stiamo ormai giocando solo a questo. Poi lo slime è davvero un gioco carino e facile da fare che sono davvero soddisfatto da questo articolo. lo consiglio",
487,Cliente Amazon,,"Prodotto vecchio, secco",
488,livet mikckael,,"Slime un peu caoutchouc, ma facile a magner...mais ma fille reste quand même contente",
489,furgy,,"Diese Knete ist richtig super, wir lieben sie, sie bleibt nicht kleben, man kann super damit spielen, auch die kleinen Obststücke und Entchen sind super süß. Einfach perfekt.",
490,Obedie,,Bought as prizes for kid’s competition. Awesome little pockets of slime and sparkle.If you like that kind of thing.Which I don’t.But hey- doing it for the kids....they loved them.Their parent’s probably hate me.Modern day dilemma.,
491,Dmytriy,,"Tiene olor agradable, no se Mancha. Pero no es elástico. Colores bonitos. Lo he comprado para la piñata. Es juguete para una fiesta, para el uso continuo no sirve",
492,Katze,,Habe das Produkt  hier im Angebot  gekauftIch muss  sagen  es ist toll  ist gut zum Geburtstag  angekommen,
493,Volkmann,,Alles super und ein tolles Mitgebsel,
494,Käufer 1985,,An sich ganz witzig aber viele gleiche Bälle. Größe ist perfekt und schleim ok.,
495,Lauraxxx,,I got these to help with toilet training my 5 year old autistic daughter .. she love slime and these are perfect for an award when she uses the toilet,
496,Cliente Amazon,,"La confezione sembra perfetta, tante palline colorate che invogliano al gioco. Se si apre la pallina però la delusione è grande, non è slime ma un sorta di plastilina che si rompe durante il gioco. Sconsiglio l'acquisto",
497,Mihalina R.,,Könnte mehr vielfältiger sein  . Sonst hat das Kind viel Spaß damit gehabt .,
498,So. K.,,"Dem Titel nach sollte es sich um einen Adventskalender handeln, nun ja es sind 24 Kugeln drinnen, stimmt, aber es ist einfach eine offene Box wo man sofort alle Kugeln sieht. Ohne Türchen, ohne Nummern, ohne Überraschung. Das ist sehr schade!",
499,Cliente Amazonc,,"È  piaciuto molto perché ci sono tantissimi slime, certo non  molto filanti, ma cmq per un bambino appassionato va più che bene",
500,Amazon Customer,,Great for party bags!,
501,Kielermädchen,,"Die Kugeln sind sweet, sie sind so klein das sie in einen Adventskalender passen. Für Kinder unter 6 Jahren allerdings nicht geeignet, es gibt Schleim der kleine Teile enthält und leicht zu verschlucken sind.",
502,Amazon Kunde,,Ich habe als Adventskalender für meinen Sohn gekauft und er war sehr zufrieden,
503,HAIFISCH,,Alles Schick!,
504,Cloclo,,Se casse en pleins de petits morceaux et inutilisable,
505,Amazon Kunde,,Es ist für ein Kindergeburtstag der Hit. Es ist aber nicht die beste Qualität. Es sind sehr schöne Farben. Der Schleim riecht aber ein bisschen komisch. Aber Kindern gefällt es.,
506,Grace,,"They are tiny, not worth price.",
507,simone,,tutto perfetto solo le dimensioni un pò contenute,
508,Susan,,"Sehr schön, nur muss der Schleim richtig geknetet werden bevor man ihn ziehen kann. Riecht sehr chemisch...",
509,Shopping Girl,,"Meine Kinder lieben Schleim und deshalb habe ich ihnen zum Kindertag dieses große Packung Schleimbälle bestellt. Es gibt 24 verschiedene Modelle, teilweise mit Figuren. Der Schleim leuchtet in den schönsten Farben. Wir bewahren den Schleim in den gelieferten Kugeln auf. Ein toller Spaß für Groß und Klein.",
510,lets_test_togehter_,,⍟⍟⍟⍟⍟⍟⍟⍟⍟⍟⍟⍟Wir haben die Slimes als kleine Abschiedsgeschenke für die Geburtstagsparty unserer kleinen gekauft.Die Slimes sind einzeln in kleinen Kugel verpackt und noch zusätzlich verschweißt. Die Farbgestaltungen sindrichtig schön Galaxy-mäßig :-)Alle Kids sind happy und Slimy nach Hause gegangen.⍟⍟⍟⍟⍟⍟⍟⍟⍟⍟⍟⍟,
511,shelby,,It was really small and watery I wouldn’t recommend it for that price you pay,
512,maria de falco,,"Simpatico ed ottimo per il regalino da donare  agli invitati di un compleanno , solo forse un po’ piccoli .",
513,Baastet,,"Article perimé depuis juin, donc slime sec...certaine boules dont le film protecteur est manquant donc déjà ouvert, des boules qui fuient, à moitié remplie, cassée, etc, etc, etc, on peut en supposer plein de choses, article qui a déjà été renvoyé mais qu'on propose quand même à d'autres clients? On sait jamais, sur un malentendu...J'ai voulu me fier au commentaires positifs, je n'aurai pas dû.. c'est tellement aléatoire finalement... j'ai joué j'ai perdu.C'était pour remplir le calendrier de l'avent de ma fille qui adooooore le slime, avec plein d'autre petites bricoles, 24 c'était parfait. Heureusement que je m'y prend tôt, mais je n'ai clairement pas envie de tenter l'expérience de nouveau, même avec un autre vendeur.Conclusion, 1 étoile par rapport à mon expérience.Encore une fois, c'est très aléatoire...",
514,Roy 78,,Prodotto molto apprezzato da mio figlio ...unica pecca e non da poco gli slime trasparenti ovvero quelli non metallizzati li ho dovuti buttare perché si appiccicavano alle mani in mille pezzi invece che rimanere un corpo unico rendendolo ingiocabile ....per quelli metallizzati tutto ok,
515,Hermann Toudic,,Cadeau pour une fillette de 9 ans. Très satisfaite,
516,Maria C.,,"Keine Ahnung wofür man sowas braucht, aber meine Tochter liebt es nunmal....sieht jedenfalls schön aus und klebt nicht an der Kleidung oder ähnlichem fest.",
517,Rosie Brennan,,"I bought these as party bag fillers, I expected them to be a decent size because of product images - but they were tiny. Party was a space theme so these were meant to fit that, by randomly 6 out of 24 were just pink glittery. So so overpriced, Tesco do a better version for a fraction of the cost.",
518,KH,,Etwas schade das die Kugeln so lieb los verpackt sind aber sonst super kleben nicht und Schleimen auch nicht. Trotzdem super zum kneten und Formen,
519,Raquel,,Un regalo con el que sorprendí a los peques! Mantiene la elasticidad incluso si se olvida una noche de cerrarlo!! Son geniales!,
520,cappelaere marjory,,"je suis très satisfaite de ce slime, en effet, il n'a pas de mauvaise odeur, il ne sèche pas vite et le conditionnement dans les petites boules est très pratique pour le partager avec plusieurs enfants. les couleurs sont jolies et scintillantes",
521,S.K.,,"Meine Tochter mag den Slime gerne. Die Farben sind schön, er klebt nicht an den Händen und riecht nicht so intensiv wie vergleichbare Produkte",
522,Cliente Amazon,,"Sono piaciuti tantissimo, fatti bene, non incollano, sembrano tutti uguali ma in realtà sono diversi e comunque tanti, quindi bellissimi come regalo!",
523,Kicco,,Purtroppo appiccica. Sono pochi che non appiccicano (i crystal). Pero almeno si pulisce in fretta da qualsiasi superficie o supporto..,
524,Natascha Breuer- vlatten,,Mein Sohn freut sich darüber in seinem Adventskalender... allerdings befinden sich darin kleine Glasscherben. Das ist gefährlich und sollte so nicht verkauft werden.,
525,Marta,,"No es exactamente slime (no es tan estirable), pero a cambio no mancha ni es pegajoso. Los colores muy bonitos, y el tamaño de las bolas es más grande de lo que esperábamos. Muy bien por lo que cuesta",
526,Nacho,,"Bastante entretenido, sin embargo, algo si queanchan, y algunas de las jelly's de la caja estaban pasadas y algo duras. De hecho es cierto que si las trabajas se reblandece, pero algunas ni a tiros, estaba secas y se partian",
527,SA**JA,,"The media could not be loaded.




 Ich habe den slime gekauft als Gastgeschenk für einen Kinder Geburtstag.Ich bin sehr begeistert von diesem slim.Er ist vom Geruch sehr angenehm.Man kann ihn auseinander reißen und er geht ohne Probleme wieder zusammen kneten.Die Farben und das Glitzer ist mega schön.Die Kinder waren begeistert.",
528,Aniger,,Sehr kleine Schleime in Kugeln. Der Schleim riecht sehr streng und ist teil gar nicht so schleimig und dehnbar.Waren für die Mitgebtüten zu einem Kindergeburtstag.,
529,Lana,,"Produkt ist top, die Kinder haben sich gefreut",
530,MARIA DEL MAR SANCHEZ PALOMEQUE,,hay que tocarlas mucho para que sean slime..pero tienen unos colores muy bonitos.Eran para regalo y nos las hemos quedado...con éso digo todo..jeje,
531,francesco,,Regalato alla mia bimba di 5 anni che è rimasta più che contenta....bella l'idea di separare lo Slime in 24 palline tutte coloratissime ...ottimo anche il prodotto che non risulta appiccicoso come altri Slime di diverse marche ...facile da riarotolare e conservare nelle apposite palline di plastica che ne conservano la consistenza anche dopo diversi giorni.. consigliatissimo!!,
532,Elly,,Les enfants ont étaient ravie de découvrir le slime galaxy Ball.Moi aussi aucune odeur 24 couleurs différentes aucun danger pour les enfants.Très simple d utilisation alors si vous voulez faire plaisir aux enfants n hésitez pas le cadeau parfais.,
533,Pawlina Anita,,"Super slime...Verklebt nicht, die Kinder haben eine Freude",
534,Amazon Kunde,,"Tolles Geschenk, meine Tochter (9) liebt Schleim und dieser Schleim riecht gut und ist von der Konsistenz genau richtig,bleibt nicht kleben und zum kneten gut geeignet. Würde ich wieder kaufen.",
535,Kristin We,,"Der Versand war wie gewohnt schnell, leider war der Karton leicht zerdrückt. Als mitgebsel auf den Kindergeburtstag kam es gut an. Würde den aber nicht nochmal bestellen.",
536,laura khan,,"God child liked this, personally think a little over priced",
537,Schnuffel,,Gerne wieder,
538,Malin Dilayla Lüders,,"Ich habe es meine Tochter geschenkt die Freude war riesig, mir war wichtig das der slime nicht klebt und das tut er auch nicht! Super Geschenk auch zum verschenken. Wirklich tolle slimes!",
539,Amazon Kunde,,"Absolut unbrauchbarLeider!Habe eben erst beim Befüllen des Adventskalenders bemerkt, dass der Schleim alles andere als schleimig ist. Er ist extrem krümlig und auch durch längeres kneten und wärmen wird es nicht besser. Wenn ich es eher geprüft hätte hätte ich sofort reklamiert so bin ich leider über der Zeit...absoluter Fehlkauf",
540,Amazon Kunde,,"Bin etwas enttäuscht, da der Karton verbeult war, als wenn er schon ein paar mal benutzt wurde. Es soll ein Geschenk für meine 10 Jahre alte Enkelin sein. Hab es mir anders vorgestellt.",
541,Tommy,,"schnelle lieferung, paket war am 2. tag schon da. meine tochter kann stundenlang damit spielen. geruch an die finger ist angenehm, sehr leicht. schöne farbe. ist ein sauberer ersatz zu knete. super spiel zurzeit bei ausgangssperre.",
542,Lella,,usati come regalo per gli invitati alla festa di compleanno hanno riscosso tanto successo. Lo slime non puzza e resta elastico e umido anche dopo l'uso. Le palline che contengono il prodotto si rompono facimente. Alcuni slime contengono dei piccoli oggetti ( fruttini paperelle perline ) e li rendono ancora più interessanti per i bambini. CONSIGLIATO,
543,Amazon Kunde,,Der Slime ist heute (05.01.2021) bei uns angekommen und laut Verpackung seit dem 06.01.2020 abgelaufen. Dementsprechend ist er ausgetrocknet und kein Slime mehr sondern mehr wie Knete.,
544,sandra wheatley,,Excellent service item arrived in two days from placing the order. Thank you,
545,Jo,,Leider war es nicht wie erwartet und auch nicht wie normaler Slime. Die Masse war eher mit weicher Knete zu vergleichen. Schade.,
546,sandra p,,Leider waren nur 23 Stück drin statt 24...meine Tochter war enttäuscht,
547,mupsi123,,Es gab strahlende kinderaugen und es macht super viel spaß mit dem schleim zu spielen  :)  top  !,
548,Mike,,Also für mich ist es kein Schleim sondern eher Gelee! Es ist leider nicht so toll wie wir es gedacht haben.,
549,Amazon Kunde,,Ich habe für meine Tochter einen Adventskalender gebastelt wo sie jeden Tag eine Schleimkugel hat. Wir haben heute den 5. Dezember und eine Schleimkugel ist schon hart die anderen fangen an zu stinken . Sie ist echt enttäuscht! Dafür ist der Preis einfach viel zu hoch . Wir können die Kugeln definitiv nicht weiter empfehlen !!!,
550,Abigaïl,,"Après plusieurs semaines d'utilisations,  hélas je suis obligée de retirer des étoiles,  comme un autre commentaire je suis au regret de dire que le slim s'abîme avec le temps, même les boules non ouvertes :-(  et une odeur apparaît je suis un donc un déçu par rapport a l'ouverture et les premières utilisations de ce dernier....",
551,aslanhan,,Die Flummi Slimes sind in Ordnung,
552,Ivonne Bolm,,Naja...,
553,littlem,,"I bought this set of slime for my sons birthday, I can’t wait to see his face. The packaging is very neat and the colours of the slime look amazing!",
554,Kristina Schulz,,Perfekt als Mitgebsel für jeden Kindergeburtstag. Kein geklebe oder rum gematsche,
555,Cliente Amazon,,"Además de parecerme muy pequeño, y si bien es cierto que es bonito y original no cumple su función. Los niños esperan elasticidad, que se deslice de manera viscosa y sin pegarse (esto último los padres...). Pues se rompe como si nada es como si fuese una plastilina pero no se moldea... No funciona... Una pena.",
556,NuKW,,"Nach einem Tag leider ausgetrocknet.Ist meiner Ansicht nach rausgeworfenes Geld,Auch wenn es sich erst super toll anfühlt.",
557,Kieffer P.,,Wir haben es als Geburtstagsmitgebsel für unseren 9 jährigen Sohn gekauft. Seine Freunde waren begeistert. Es hat eine angenehme Konsistenz un einen angenehmen Geruch. Wir können es nur weiterempfehlen.,
558,Rasa,,"Really good gift for my son, he is enjoying a lot! it's not as sticky as I thought yet seems. Would avoid carpets, hair and good clothes",
559,Christian Kornagel,,Nicht individuell genug.Übel riechende.Lauft teilweise aus.Aber ein hinkuger für kleine Geschänke.,
560,Paulina Benteler,,"Beinhaltet 18 Kugeln Galaxy Slime und 6 Kugeln mit durchsichtigem Slime mit Deko (Perlen, Früchte und ein mit 2 Enten) die Galaxy Slime Kugeln enthalten ungefähr 27g Slime und die andere 22 bis 26g. Meine Tochter hat es sehr gut gefallen. Zum weiterempfehlen.",
561,Nicola,,Tutto ok!grazie,
562,vicki haycock,,My son loved them even though we thought it was a advent calendar,
563,Pietro,,Bimbi felici,
564,Cliente Amazon,,Lo slime da vedere é molto bello una volta aperte le palline però il contenuto é poco elastico rispetto ad altri slime in commercio.,
565,😂,,So ist das Produkt gut aber die Verpackung total verdrückt und gerissen!!,
566,Elisabet,,"Regalo perfecto para los más peques, no mancha ni se pega en ropa ni superficies, ideal, además trae una gran variedad para más diversión.Mis niñas están encantadas!!!",
567,Amazon Kunde,,Super Produkt,
568,Massimiliano,,Come da foto. Ok,
569,SOURI,,Alla fine sono più o meno dello stesso colore a parte quelle trasparenti,
570,mrs s b brooks,,"The slime was very bad ,it ripped a lot and was not good to play with , I would not get this and my husband, daughters , and cousins agree .",
571,Tammy B.,,"The media could not be loaded.




 Really disappointed with this product, nothing like the description, very brittle and not in the least bit stretchy. I want a full refund!",
572,Mari C.,,"Un producto estupendo. Al peque le ha encantado. La caja es fuerte y una presentación muy bonita. Montones de slime con mini figuritas dentro. Súper chulo, sin duda compraré otro para regalo.",
573,N.H.,,Als Geburtstagsgeschenk für meine Hortkinder auf Arbeit kamen sie gut an...,
574,Nancy Dillner,,👍,
575,Jana,,"Funktioniert irgendwie so gar nicht... Ziehen wie Schleim geht nicht, denn dann reist der Schleim sofort auseiander... Schade",
576,star,,Not opened any of the balls yet but product looks amazing,
577,Carmen ,,"Wir haben die Schleimkugeln als Mitgebsel für den Kindergeburtstag gekauft.. Kam gut an.. Im Schleim sind ganz kleine Sachen versteckt.. Blümchen, Sterne...",
578,Cristina68,,"Ho comprato il kit per avere a disposizione dei regalini da dare a fine festa. Le palline erano ben confezionate, lo slime (all'interno) è morbido, si allunga moltissimo e non appiccica. Tutto perfettamente corrispondente alla descrizione. Consiglio l'acquisto",
579,valentina,,"Anche io do 5 stelle a questo prodotto. Non sporca, anzi si manipola benissimo e ha un buonissimo profumo.18 sfere contengono slime metallizzato mentre le altre 6 sono leggermente colorate con all'interno delle perline.Consiglio vivamente l'acquisto.",
580,P. M.,,"Es ist kein Kalender! Es sind 24 Slimes in Plastikkugeln.Teils riecht der Slime stark parfümiert und fängt nach ein paar Tagen ganz extrem an zu riechen - sehr chemisch, beissend.",
581,oceanne16,,Super slim. Très jolies boules!,
582,Valentina Tamai,,Simpatico presente per fine compleanno,
583,Blubbediblub,,"Geniales Mitgebsel für den Kindergeburtstag unserer Tochter. Die Kinder waren begeistert. Schleim ist bei Kindern, warum auch immer, der absolute Hit.",
584,María,,Una idea genial para jugar entre varios niños,
585,Gabriele,,"Pacco arrivato puntuale, lo slime all’interno delle sfere è ottimo finalmente ho risentito l’odore del vecchio slime... il primo di colore verde per intenderci. Molle quanto basta si gioca correttamente, al momento sono rimaste tutte morbide ed umide le sfere aperte",
586,Mar N.,,Está bien para detalle de cumpleaños,
587,debzi,,"Absolute waste of time, nothing like pictures, it just broke in half and all the little beads bell out, I noticed it was really cold so either where it’s been stored has made it defective, or out of date, the label in it had spelling mistakes, I was so dissapointed bought for my daughters birthday good job I decided to open one of the balls to check it, I wouldn’t of wanted to see her upset.",
588,Luna,,Le ha chiflado a mi hijo de 5 años,
589,claire conlon,,Looks good but unfortunately the price tag doesn't match the quality. No matter how much you move it around and warm it up it just rips into chunks. Frustrated mum.,
590,silvia,,le palline di stime sono coloratissime e diverse tra loro. si adattano sia a bambini che bambine. ogni pallina e singolarmente sigillata,
591,Lidiat,,"Carino il packaging,  ma a parte quelli trasparenti con gli oggetti dentro, sono tutti dello stesso colore, mio figlio è rimasto deluso",
592,M,,"Die Kugeln können, sobald man sie geöffnet hat, nicht wieder verschlossen werden. Somit trocknet der Schleim nach dem ersten Benutzen aus und kann nur noch weggeschmissen werden. Leider nur ein sehr kurzer Spaß für die Kinder.",
593,alessandra,,Bello come in foto,
594,Bastian Morbitzer,,"In der Beschreibung und auf der Verpackung steht 24 Stück Inhalt, als es geöffnet wurde waren aber 7 Felder leer und nur 17 Stück enthalten! Warum? War ziemlich peinlich weil es von uns verschenkt wurde!",
595,Guny,,"Wer an Schleim denkt, sollte die Finger von dem Produkt lassen.Da zieht sich gar nichts, sondern bricht.",
596,Shotty084,,Macht sehr Spaß damit zu kneten :-) gefällt uns gut,
597,L. K.,,"Leider sind meine Slimes wie in anderen Rezensionen auch ebenfalls vor einem Jahr abgelaufen.. das merkt man auch an der Qualität,  sie sehen zwar hübsch auch, sind aber nicht mehr elastisch und auch zu hart.... reißen, wenn man sie außeinander zieht:(Schade!",
598,Kundin aus Künzelsau,,"Hätte mir mehr versprochen, das Set geht zurück! Der Schleim ist nicht zäh sondern reißt und bricht!",
599,alyaa,,"The media could not be loaded.




 Der Slime ist heute (05.01.2021) bei uns angekommen und laut Verpackung seit dem 07.01.2020 abgelaufen. Dementsprechend ist er ausgetrocknet und kein Slime mehr sondern mehr wie Knete.",
600,Client d'Amazon,,"Offert en cadeau de départ lors de l'anniversaire de ma fille, les enfants étaient vraiment ravis. Merci",
601,Carmen,,"Llego rápido y en perfectas condiciones. Lo use para regalar y a los peques les encanto.Lo que más les ha gustado son los animalitos, bolitas y demás cositas que trae el slime dentro.",
602,Riebl,,"Super Produkt, wie beschrieben,  unsere Tochter ist total begeistert",
603,MRS N,,Excellent,
604,Cristiana C.,,Il regalo è stato apprezzato.Ricevente bimba di 10 anni.,
605,Katha,,"Wir haben die Bälle als Mitgebsel geplant für den Kindergeburtstag unseres Sohnes. Schleim etc kommt immer gut an. Allerdings riechen die so streng dass wir sie doch nicht nehmen werden. Aussehen tun sie schön, allerdings wirklich nichts für Kinder ab 6 sondern eher älter",
606,rvr2,,Went off and smelt bad,
607,JulchenAusDemFandom ,,"Reinste katherstrophe!Der slime in den Bällen ist absoluter Müll, klumpig und nicht dehnbar wie angegeben. Es ist eine Frechheit finde ich..Zumal das Design von innen als adventskalender so keinen Sinn macht. Es liegen einfach 24 unkreative fast 1 zu 1 gleich befüllte Bälle neben einander.Wandert in den Müll. 25€ für nichts!",
608,Yara ,,Las he comprado para la fiesta de cumple de mi hoja y les ha encantado a todos...Recomiendo!,
609,Elke Michelsen,,"Preis-Leistung- superdanke, immer wieder gerne",
610,Amazon Kunde,,"Eine Katastrophe!!!!Hat mit slime nichts zu tun. Es lässt sich nicht ziehen, die Kinder waren enttäuscht! Habe welche verschenkt darum kann ich es auch nicht mehr Retoure schicken.Fake",
611,Emanuele,,"Lo slime purtroppo sembra andato a male, si presenta bene nelle ball con tanti colori vivaci, peccato che una volta aperto invece di allungarsi si spezza in tanti pezzetti e anche scaldato un po nelle mani il risultato non cambia.Mia figlia ci è rimasta male, per fortuna c’è il reso amazon e a breve gliene prenderò un atro di un altra marca.",
612,AD,,Leider kam die Packung geöffnet und mit nur 12 Kugeln an- geht direkt zurück. Gemäss Beschreibung ( und wie die Packung aussieht) sollten 24 Kugeln enthalten sein.,
613,Amazon Customer,,Fun fun fun.,
614,frajuck,,"sono scarti, una truffa sono scarti, una vera truffa VERGOGNABRUTTI, SCURI E INREGALABILI.",
615,Simon,,Mein Sohn 4 - war sehr begeistert...ich weniger. Es war für einen Nachmittag interessant und dann war das Thema erledigt. Die einzelnen Kugeln sind aus leicht zerbrechlichen Plastik - fast alle waren gleich beschädigt und damit unbrauchbar. Auch der Geruch war unangenehm und chemisch.,
616,RitterDesNi,,"Sieht super aus, riecht geil.Aber reißt viel zu leicht. Man hat nicht das Gefühl, dass es sich um Schleim handelt.Vielmehr, dass man eine recht fragile Massen ind en Händen hält.Nicht geil.",
617,Jasmine Funk,,Der Artikel entspricht der Beschreibung.,
618,K. Cad.,,"Les pâtes sont desséchées dans les boules... Et pour cause, la date de péremption est largement dépassée : 01.06.2020 !!Pour un cadeau de Noël, très décevant....",
619,Insulted,,This item is no good to me as it's out of date as the Expiration Date is 2020-06-01,
620,Lisa Gruber-Heisig,,Ideal für kinder. Verschiedene Farben.,
621,pineau,,Ce n'est pas du slime,
622,tiefenbach,,schnelle lieferung bin zufrieden,
623,Cristina,,Slime molto simpatici,
624,Secret,,Ok,
625,anja,,"ich glaube das ist giftig, es stinkt - KIndern würde ich es nicht geben. Trotzdem war es ganz lustig damit rumzuspielen.",
626,Amazon Kunde,,"hab mich von einigen Bewertungen beeinflussen lassen, war enttäuscht, sehen nicht so toll aus, eher unscheinbar und unspektakulär, keine besondere Überraschung",
627,BB,,Leider nichts für unsere Kinds! Diese Schleim Kugeln stinken sehr nach Chemie u u hinterlassen ein ungutes Gefühl auf der Haut! Ging zurück!,
628,Danielle Clark,,Doesn't stretch just breaks very disappointing,
629,Fatma hacıoğlu ,,Macht kein Spaß kinder,
630,Lory,,"Perfetti per ringraziare gli amici di mia figlia che hanno partecipato al suo compleanno...profumano, non puzzano!Ottimo acquisto...",
631,andrea,,"il regalo peggiore che potessi fare... tutti gli slime si rompevano subito! Meno male che Amazon, al solito, non ha battuto ciglio nella restituzoione.... peccato per la delusione di mia figlia. Sconsiglio assolutamente",
632,anthony f.,,Don't waste your time and money not worth 10 pounds box was used plz don't buy,
633,Pierre ,,Die Inhalte sind leider zu schnell ausgetrocknet nach mehrfachen gebrauch,
634,Lures,,Idea molto carina come regalino di fine festa di compleanno... i bambini erano molto entusiasti. Si presenta bene,
635,Natascia,,Le ho prese come regalino da dare agli amichetti della mia bimba per il suo compleanno. Sono molto carine.,
636,Adriana,,"Comprati per dare un pensierino alla fine compleanno. Belli e qualità ottima, soprattutto perché non macchiano!!!!!!Molto soddisfatta",
637,Alessandra Lanzetti,,Carini divertenti hanno un buon odore e non sporcano alle mie figlie sono piaciute un sacco,
638,Mauro Usai,,"Orrendi di slime non hanno nulla non sono elastici per niente si spezzano subito, una grande delusione per i bambini e per me che ho buttato i soldi in un articolo pessimo.",
639,Nicola,,"Poco elastici. Non si allungano per nulla, si spezzano in pezzi microscopici.Molto male.",
640,mustafa masuk,,HalloÜberhaupt nicht elastisch.,
641,Cliente Amazon,,Malísimos. Esto no es slime ni siquiera puedes tocarlo se hace trozos al momento. Una pena porque es dinero tirado. No merece ni una estrella.,
642,Käufer Krefeld,,Die Packung war bereits auf und hier wird es dann als Neuware verkauft. Sowas geht garnicht,
643,Sa,,A mia figlia sono piaciuti  un sacco...troppo belli e fatti veramente  bene,
644,Mery ,,"Der Schleim, fing an zu stinken nach nur 3 Tagen, meine Tochter ist sehr enttäuscht.",
645,Anna,,"No lo recomiendo, aparentemente muy bonito por los colores, pero el slime está todo duro, se rompe, no se estira y entonces no puedes jugar con el.",
646,Cliente Amazon,,Molto carine le palline. Perfette per una fine festa di compleanno.,
647,Laura La Fortezza,,"Slime,consegnata scatola ,palline troppo carine..",
648,ELISABETTA,,"Carinissime, regalini di fine festa compleanno i bambini di 6 anni felicissimi! Splendide!",
649,maria jesus verdejo ratia,,Estupendo,
650,JA,,Haben uns die Kugeln viel größer vorgestellt,
651,Janina,,"Unbrauchbarer schleim, zudem war die Packung nicht vollständig",
652,Anil amarasinghe,,No buono,
653,Barbara,,Bellissimo regalino di fine festa. Molto apprezzato.,
654,𝔸𝕟𝕟𝕚,,Der Schleim fing nach einer Woche an zu schimmeln,
655,Laura O.,,Schifezza,
656,Cliente Amazon,,Tutto perfetto,
657,Amazon Kunde,,KUGELN KAPUTT,
658,Cliente Amazon,,Pessimo. Lo Slime si rompe e sbriciola. Sembra vecchio.,
659,Efrain C.,,Ideal para regalitos de invitadosa cumpleaños,
660,Alessandro Rella,,"Molto belline, i bambini impazziti all'idea.",
661,emy,,Buon prodotto.,
662,A. 49,,CONFEZIONARE REGALI PER FESTA COMPLEANNO.,
663,Cliente Amazon,,Ok.³,
664,Cliente Amazon,,Mala calidad,
665,SimSal,,Ok,
666,Irina,,Schlechte Geruch,
667,Lay minh ngo,,"Got this for my daughter as she really loves slime and was super excited when this arrived.It came as a large set of 24 slime balls with all different colours and variety, 6 of the balls came with Lovely bits in them and the rest were a beautiful galaxy colour mix.Each ball was a perfect size for my 5 year olds hand, the texture had a gooey feel in between slime and putty.Really liked that it wasn't too wet and sticky, and the slime can easily be put back in to the ball so it doesn't dry out and she can a carry around a few with her when we go out without taking too much space.",
668,Sindy,,"Meine Nichte steht sehr auf Schleim und um sie zu überraschen habe ich den gekauft. Ich war fasziniert von den Farben und wollte ihn auch gern ausprobieren. Vorstellung und Realität unterscheiden sich hier sehr, wie bei der Schlange. Ich hatte angenommen es ist feucht und glitschig aber ganz im Gegenteil. Es ist wie Gel in grellen Farben. Neben den Planeten gibt es auch Kugeln mit sehr hellem Schleim, dafür sind kleine Teilchen drin. Ich find die Erfindung wirklich super und das Kind war begeistert :)",
669,Michelle M,Best slime ever,"We absolutely loved this slime. It’s super pretty with tons of metallic shine but not glitter that gets everywhere. The slime isn’t all sticky and goopey…it’s more together and so it makes no mess. It’s not super crazy stretchy, but I like that my girls can play with it without getting it all stuck in their hair or my carpet if it drops. The packaging was really on point too, and my girls loved popping open each globe to get their slime. We put them in goodie bags for my 6 year old’s bday, and everyone loved them!",5.0
670,Tison,Broken one but great for party bags,Great for party bags - but make sure to order enough: my set came with a broken  one. I don’t know if it’s easy to clean (asked that I rate that),4.0
671,Customer,Quality texture and consistency for price,"I have purchased these twice now to put in gift bags for my kids birthday parties. You cant go wrong with slime, always a kid fav and these provide good quality and value.",5.0
672,Shelly,Cool party favor,"Yes, I need to get a manicure but, you’re welcome for the picture 😂",4.0
673,CE Brown,Worth the money,My second time purchasing these. Got for my 13yo’s and now for my 5yo’s party. Slime is always a big hit!,5.0
674,Ildiko jolly,Slime,I put these in party gift bags kids love them,5.0
675,Amazon Customer,👌,My kids loved the slime and it's not messy.,5.0
676,Sollie jones,Small,Product is fine. Beware of the size however. It is smaller than it would appear.,3.0
677,Michelle Wasicek,~ Slime is fun~,Very awesome kit I must say and was a nice gift for a child.,5.0
678,Belinda,Great,Product is great,5.0
679,Edward,Good slime,"We bought two boxes of these to give away at a kids party and they worked out perfectly. This is the good slime, the kind that doesn't make a mess but is still slimy.",5.0
680,Brittany,Good buy,Recommending!,5.0
681,Mamaloo,Goodie bag filler,I am not sure about the stretch or scent.They were convenient to put into goodie bags as a favor.,4.0
682,Tara Ramirez,Kid and mom approved,"I bought this for a bday gift for a child w/ sensory issues because of the reviews. They were not wrong. The child loved it, the mom approved. If I could change one thing, I wish it was sold in larger containers. The 24 containers are very small. They ended up opening and placing in one large one.",5.0
